session_id,date,productSKU,category,channel,device,revenue
17,2016-12-26,GGOE00002,Apparel,Direct,desktop,49.23
78,2016-11-28,GGOE00139,Bags,Direct,desktop,91.7
98,2016-11-16,GGOE00120,Bags,Paid Search,desktop,79.13
228,2017-01-28,GGOE00039,Apparel,Affiliates,desktop,19.41
256,2016-12-29,GGOE00117,Bags,Organic Search,desktop,56.08
343,2016-12-14,GGOE00170,Office,Direct,desktop,16.07
367,2017-01-30,GGOE00345,Nest,Organic Search,desktop,110.64
474,2017-01-21,GGOE00097,Bags,Referral,desktop,13.34
496,2016-12-01,GGOE00276,Electronics Accessories,Organic Search,desktop,35.61
507,2017-01-24,GGOE00161,Office,Organic Search,desktop,21.16
534,2016-11-03,GGOE00168,Office,Referral,desktop,24.07
561,2017-01-06,GGOE00299,Headgear,Paid Search,desktop,28.51
672,2017-01-18,GGOE00349,Nest,Paid Search,mobile,57.26
722,2017-01-14,GGOE00314,Headgear,Organic Search,desktop,18.46
958,2016-12-24,GGOE00288,Headgear,Direct,desktop,12.98
981,2016-11-20,GGOE00079,Drinkware,Referral,desktop,8.64
982,2016-11-01,GGOE00028,Apparel,Organic Search,desktop,42.2
1227,2016-11-06,GGOE00339,Nest,Paid Search,desktop,228.94
1319,2017-01-06,GGOE00121,Bags,Referral,desktop,97.23
1569,2017-01-03,GGOE00153,Office,Paid Search,desktop,16.11
1570,2016-11-29,GGOE00093,Drinkware,Referral,desktop,18.69
1776,2016-12-12,GGOE00007,Apparel,Social,desktop,51.42
1872,2016-11-10,GGOE00229,Lifestyle,Direct,desktop,67.21
1910,2016-11-25,GGOE00282,Electronics Accessories,Organic Search,desktop,34.81
2100,2016-11-28,GGOE00018,Apparel,Organic Search,desktop,41.86
2158,2016-11-14,GGOE00245,Electronics Accessories,Organic Search,desktop,30.82
2174,2016-11-03,GGOE00122,Bags,Organic Search,desktop,66.43
2210,2017-01-05,GGOE00286,Headgear,Paid Search,desktop,32.21
2352,2017-01-09,GGOE00310,Headgear,Social,mobile,27.48
2365,2017-01-20,GGOE00153,Office,Referral,desktop,16.11
2427,2016-11-08,GGOE00106,Bags,Referral,desktop,85.21
2446,2017-01-20,GGOE00161,Office,Paid Search,desktop,21.16
2502,2017-01-09,GGOE00284,Headgear,Direct,desktop,22.48
2509,2016-11-18,GGOE00258,Electronics Accessories,Direct,desktop,6.26
2605,2016-11-18,GGOE00041,Apparel,Organic Search,desktop,54.26
2696,2016-11-13,GGOE00034,Apparel,Referral,desktop,45.22
2798,2016-11-24,GGOE00085,Drinkware,Organic Search,desktop,21.04
3008,2016-11-20,GGOE00239,Electronics Accessories,Direct,desktop,13.62
3030,2016-11-27,GGOE00011,Apparel,Direct,desktop,25.36
3112,2016-12-20,GGOE00289,Headgear,Organic Search,desktop,29.59
3192,2016-12-27,GGOE00128,Bags,Referral,desktop,48.07
3202,2016-11-06,GGOE00025,Apparel,Direct,desktop,36.71
3257,2016-12-17,GGOE00223,Lifestyle,Referral,desktop,15.89
3321,2016-12-24,GGOE00239,Electronics Accessories,Organic Search,desktop,13.62
3332,2016-12-28,GGOE00188,Lifestyle,Referral,desktop,23.38
3338,2016-11-23,GGOE00246,Electronics Accessories,Organic Search,desktop,37.88
3361,2016-12-09,GGOE00063,Drinkware,Organic Search,mobile,8.77
3551,2016-12-15,GGOE00002,Apparel,Organic Search,desktop,49.23
3692,2016-12-26,GGOE00250,Electronics Accessories,Organic Search,desktop,12.03
3784,2017-01-16,GGOE00325,Headgear,Referral,desktop,11.15
4065,2017-01-08,GGOE00151,Office,Direct,desktop,17.24
4097,2017-01-30,GGOE00191,Lifestyle,Organic Search,desktop,56.41
4099,2016-11-20,GGOE00091,Drinkware,Organic Search,desktop,26.91
4203,2016-12-19,GGOE00332,Nest,Direct,desktop,103.3
4206,2016-11-03,GGOE00109,Bags,Referral,desktop,94.18
4290,2016-11-12,GGOE00356,Nest,Organic Search,desktop,216.47
4294,2017-01-21,GGOE00025,Apparel,Direct,desktop,36.71
4295,2016-12-15,GGOE00247,Electronics Accessories,Affiliates,desktop,18.83
4306,2017-01-20,GGOE00115,Bags,Affiliates,desktop,99.16
4324,2016-11-16,GGOE00005,Apparel,Referral,desktop,53.93
4425,2016-12-01,GGOE00183,Lifestyle,Organic Search,desktop,11.83
4604,2016-11-02,GGOE00090,Drinkware,Referral,desktop,5.95
4642,2016-11-24,GGOE00038,Apparel,Organic Search,desktop,51.84
4732,2016-11-02,GGOE00269,Electronics Accessories,Organic Search,desktop,10.86
4758,2016-11-27,GGOE00088,Drinkware,Direct,desktop,15.27
4833,2016-12-20,GGOE00281,Electronics Accessories,Paid Search,desktop,24.79
4867,2016-11-08,GGOE00314,Headgear,Referral,desktop,18.46
4902,2017-01-23,GGOE00290,Headgear,Organic Search,desktop,25.4
4912,2016-12-06,GGOE00217,Lifestyle,Paid Search,desktop,70.88
4991,2017-01-27,GGOE00139,Bags,Organic Search,desktop,91.7
5062,2017-01-12,GGOE00130,Bags,Referral,desktop,73.07
5067,2016-11-26,GGOE00316,Headgear,Direct,desktop,28.53
5101,2016-12-23,GGOE00011,Apparel,Organic Search,desktop,25.36
5111,2016-12-06,GGOE00266,Electronics Accessories,Organic Search,desktop,15.87
5142,2016-11-22,GGOE00285,Headgear,Paid Search,desktop,28.2
5294,2016-11-09,GGOE00155,Office,Organic Search,desktop,8.98
5360,2016-12-26,GGOE00066,Drinkware,Paid Search,desktop,15.06
5421,2016-12-13,GGOE00247,Electronics Accessories,Social,desktop,18.83
5528,2017-01-20,GGOE00133,Bags,Organic Search,desktop,114.72
5531,2016-12-20,GGOE00347,Nest,Organic Search,desktop,105.79
5546,2016-12-20,GGOE00235,Electronics Accessories,Direct,desktop,12.02
5719,2016-12-29,GGOE00052,Apparel,Direct,desktop,14.84
5734,2017-01-14,GGOE00241,Electronics Accessories,Referral,tablet,30.6
5751,2016-11-02,GGOE00352,Nest,Organic Search,desktop,93.08
5769,2017-01-14,GGOE00076,Drinkware,Social,desktop,28.62
5799,2016-11-06,GGOE00148,Office,Paid Search,desktop,23.82
5886,2017-01-02,GGOE00009,Apparel,Organic Search,desktop,34.46
6053,2016-12-21,GGOE00280,Electronics Accessories,Organic Search,desktop,5.7
6193,2016-12-27,GGOE00046,Apparel,Referral,desktop,16.39
6316,2016-12-07,GGOE00193,Lifestyle,Direct,desktop,63.59
6326,2016-12-08,GGOE00137,Bags,Organic Search,desktop,67.33
6345,2016-11-08,GGOE00110,Bags,Direct,desktop,110.01
6413,2016-12-14,GGOE00316,Headgear,Paid Search,desktop,28.53
6484,2017-01-29,GGOE00144,Office,Referral,desktop,23.15
6547,2016-12-24,GGOE00118,Bags,Organic Search,mobile,99.68
6573,2017-01-07,GGOE00341,Nest,Organic Search,desktop,63.19
6640,2017-01-11,GGOE00025,Apparel,Organic Search,desktop,36.71
6729,2016-11-06,GGOE00337,Nest,Social,desktop,127.45
6740,2016-12-20,GGOE00105,Bags,Paid Search,desktop,74.93
6871,2017-01-26,GGOE00314,Headgear,Social,desktop,18.46
6911,2017-01-13,GGOE00094,Drinkware,Organic Search,desktop,13.05
7210,2017-01-11,GGOE00264,Electronics Accessories,Organic Search,desktop,41.07
7238,2016-11-04,GGOE00058,Drinkware,Organic Search,desktop,29.47
7399,2016-11-06,GGOE00214,Lifestyle,Organic Search,tablet,78.75
7449,2017-01-12,GGOE00248,Electronics Accessories,Referral,desktop,18.61
7557,2017-01-31,GGOE00129,Bags,Direct,desktop,114.29
7632,2016-12-09,GGOE00222,Lifestyle,Paid Search,desktop,57.97
7635,2017-01-01,GGOE00037,Apparel,Paid Search,desktop,12.18
7657,2017-01-11,GGOE00096,Drinkware,Paid Search,desktop,5.63
7669,2016-11-28,GGOE00236,Electronics Accessories,Direct,tablet,26.68
7709,2017-01-01,GGOE00214,Lifestyle,Direct,desktop,78.75
7720,2016-12-15,GGOE00037,Apparel,Organic Search,desktop,12.18
7767,2016-11-28,GGOE00306,Headgear,Organic Search,desktop,30.8
7787,2017-01-09,GGOE00119,Bags,Direct,desktop,11.57
7789,2016-11-14,GGOE00259,Electronics Accessories,Organic Search,desktop,35.05
7984,2016-11-06,GGOE00123,Bags,Paid Search,mobile,89.84
8040,2016-12-06,GGOE00216,Lifestyle,Organic Search,desktop,18.59
8185,2017-01-12,GGOE00163,Office,Referral,desktop,15.49
8190,2016-12-30,GGOE00212,Lifestyle,Organic Search,desktop,73.39
8257,2017-01-06,GGOE00006,Apparel,Direct,desktop,12.25
8271,2016-11-19,GGOE00159,Office,Organic Search,desktop,6.11
8284,2016-12-24,GGOE00006,Apparel,Paid Search,desktop,12.25
8290,2016-12-30,GGOE00218,Lifestyle,Paid Search,desktop,80.37
8334,2016-11-21,GGOE00120,Bags,Referral,desktop,79.13
8362,2016-12-03,GGOE00088,Drinkware,Organic Search,desktop,15.27
8427,2016-11-25,GGOE00144,Office,Referral,desktop,23.15
8483,2017-01-19,GGOE00114,Bags,Paid Search,desktop,92.83
8591,2017-01-21,GGOE00119,Bags,Direct,desktop,11.57
8631,2016-11-27,GGOE00259,Electronics Accessories,Referral,desktop,35.05
8704,2017-01-07,GGOE00117,Bags,Referral,desktop,56.08
8750,2016-12-05,GGOE00221,Lifestyle,Direct,desktop,60.38
8758,2016-11-02,GGOE00061,Drinkware,Direct,desktop,20.95
8769,2017-01-21,GGOE00146,Office,Organic Search,desktop,11.32
8800,2016-12-02,GGOE00356,Nest,Paid Search,desktop,216.47
8852,2016-11-06,GGOE00211,Lifestyle,Organic Search,desktop,59.38
8946,2016-11-19,GGOE00342,Nest,Direct,desktop,297.84
8953,2016-12-21,GGOE00047,Apparel,Referral,desktop,37.97
9145,2017-01-10,GGOE00135,Bags,Organic Search,desktop,117.84
9565,2016-12-26,GGOE00333,Nest,Organic Search,desktop,241.28
9570,2016-11-11,GGOE00174,Office,Referral,desktop,10.88
9746,2017-01-13,GGOE00113,Bags,Organic Search,desktop,10.57
9865,2016-11-16,GGOE00235,Electronics Accessories,Direct,desktop,12.02
9984,2017-01-20,GGOE00103,Bags,Referral,desktop,106.01
10073,2017-01-29,GGOE00178,Office,Direct,desktop,3.72
10138,2016-12-25,GGOE00161,Office,Organic Search,desktop,21.16
10322,2016-12-21,GGOE00281,Electronics Accessories,Organic Search,desktop,24.79
10347,2016-11-28,GGOE00166,Office,Direct,desktop,16.82
10363,2016-12-28,GGOE00096,Drinkware,Paid Search,desktop,5.63
10366,2017-01-04,GGOE00151,Office,Direct,desktop,17.24
10382,2016-12-20,GGOE00256,Electronics Accessories,Organic Search,desktop,27.32
10433,2016-12-13,GGOE00256,Electronics Accessories,Organic Search,desktop,27.32
10479,2017-01-20,GGOE00319,Headgear,Affiliates,desktop,27.24
10499,2017-01-30,GGOE00258,Electronics Accessories,Direct,desktop,6.26
10538,2016-11-13,GGOE00078,Drinkware,Direct,desktop,19.24
11223,2016-11-02,GGOE00209,Lifestyle,Organic Search,desktop,34.08
11267,2016-11-24,GGOE00047,Apparel,Organic Search,desktop,37.97
11308,2016-11-27,GGOE00282,Electronics Accessories,Organic Search,desktop,34.81
11409,2016-12-14,GGOE00073,Drinkware,Direct,desktop,21.56
11466,2016-12-24,GGOE00020,Apparel,Direct,desktop,22.33
11483,2016-12-20,GGOE00242,Electronics Accessories,Organic Search,desktop,7.25
11577,2016-11-10,GGOE00036,Apparel,Direct,desktop,29.74
11589,2016-12-02,GGOE00001,Apparel,Referral,desktop,55.07
11680,2016-11-02,GGOE00281,Electronics Accessories,Organic Search,desktop,24.79
11728,2016-11-08,GGOE00282,Electronics Accessories,Organic Search,desktop,34.81
11814,2017-01-06,GGOE00357,Nest,Referral,desktop,115.47
11822,2016-11-02,GGOE00081,Drinkware,Direct,desktop,28.2
11834,2017-01-15,GGOE00027,Apparel,Direct,tablet,56.02
11884,2017-01-26,GGOE00303,Headgear,Social,desktop,18.21
11927,2017-01-29,GGOE00037,Apparel,Organic Search,desktop,12.18
11942,2016-11-15,GGOE00180,Lifestyle,Organic Search,desktop,79.97
11950,2017-01-22,GGOE00328,Headgear,Organic Search,desktop,20.05
12131,2017-01-12,GGOE00142,Bags,Paid Search,desktop,106.6
12187,2017-01-04,GGOE00324,Headgear,Referral,desktop,34.67
12244,2017-01-15,GGOE00123,Bags,Organic Search,desktop,89.84
12416,2016-12-30,GGOE00141,Bags,Direct,desktop,56.93
12545,2016-12-07,GGOE00084,Drinkware,Social,desktop,27.1
12627,2016-12-13,GGOE00233,Electronics Accessories,Direct,desktop,4.12
12743,2016-11-21,GGOE00272,Electronics Accessories,Referral,desktop,18.77
12753,2016-12-06,GGOE00295,Headgear,Paid Search,desktop,28.98
12995,2016-11-08,GGOE00175,Office,Referral,desktop,19.34
13030,2017-01-06,GGOE00213,Lifestyle,Organic Search,desktop,33.73
13099,2016-11-24,GGOE00282,Electronics Accessories,Paid Search,desktop,34.81
13340,2016-11-11,GGOE00192,Lifestyle,Direct,desktop,21.61
13341,2016-12-13,GGOE00179,Lifestyle,Direct,desktop,73.77
13343,2016-11-17,GGOE00109,Bags,Organic Search,desktop,94.18
13891,2017-01-10,GGOE00286,Headgear,Referral,desktop,32.21
14032,2016-12-03,GGOE00235,Electronics Accessories,Organic Search,desktop,12.02
14037,2016-11-19,GGOE00112,Bags,Organic Search,desktop,112.68
14133,2016-12-27,GGOE00276,Electronics Accessories,Organic Search,desktop,35.61
14203,2016-12-26,GGOE00288,Headgear,Organic Search,desktop,12.98
14334,2017-01-15,GGOE00201,Lifestyle,Organic Search,desktop,23.68
14390,2017-01-04,GGOE00159,Office,Organic Search,desktop,6.11
14801,2016-12-04,GGOE00195,Lifestyle,Direct,desktop,33.47
14906,2017-01-19,GGOE00027,Apparel,Referral,desktop,56.02
14932,2016-11-20,GGOE00277,Electronics Accessories,Organic Search,desktop,37.68
14935,2016-12-16,GGOE00100,Bags,Organic Search,tablet,82.35
14952,2017-01-23,GGOE00116,Bags,Affiliates,desktop,25.04
15029,2016-11-19,GGOE00229,Lifestyle,Direct,mobile,67.21
15103,2017-01-01,GGOE00037,Apparel,Referral,desktop,12.18
15216,2017-01-20,GGOE00129,Bags,Organic Search,mobile,114.29
15249,2016-12-09,GGOE00353,Nest,Organic Search,desktop,264.12
15364,2017-01-16,GGOE00164,Office,Social,desktop,12.5
15475,2016-11-02,GGOE00125,Bags,Organic Search,desktop,31.84
15547,2016-12-23,GGOE00271,Electronics Accessories,Organic Search,desktop,40.12
15563,2016-12-11,GGOE00191,Lifestyle,Paid Search,desktop,56.41
15660,2016-12-17,GGOE00254,Electronics Accessories,Organic Search,desktop,6.42
15722,2016-12-18,GGOE00106,Bags,Referral,desktop,85.21
15803,2017-01-13,GGOE00018,Apparel,Organic Search,desktop,41.86
15888,2016-12-27,GGOE00180,Lifestyle,Organic Search,mobile,79.97
15998,2016-12-28,GGOE00251,Electronics Accessories,Referral,desktop,13.39
16286,2016-12-17,GGOE00130,Bags,Organic Search,desktop,73.07
16401,2016-12-08,GGOE00064,Drinkware,Referral,tablet,16.01
16444,2016-12-26,GGOE00187,Lifestyle,Organic Search,desktop,28.38
16472,2016-12-22,GGOE00123,Bags,Direct,desktop,89.84
16482,2016-12-14,GGOE00196,Lifestyle,Organic Search,desktop,84.94
16545,2016-11-05,GGOE00304,Headgear,Referral,desktop,19.33
