session_id,hitNumber,hit_type,eCommerceAction_action_type,productSKU,v2ProductCategory,productPrice
1,1,EVENT,2,GGOE00152,Office,18.21
2,1,EVENT,2,GGOE00263,Electronics Accessories,6.41
3,1,EVENT,2,GGOE00313,Headgear,32.83
4,1,EVENT,2,GGOE00056,Drinkware,25.41
4,2,EVENT,3,GGOE00056,Drinkware,25.41
4,3,EVENT,5,GGOE00056,Drinkware,25.41
6,1,EVENT,2,GGOE00308,Headgear,18.46
8,1,EVENT,2,GGOE00036,Apparel,29.74
12,1,EVENT,2,GGOE00161,Office,21.16
14,1,EVENT,2,GGOE00256,Electronics Accessories,27.32
16,1,EVENT,2,GGOE00118,Bags,99.68
17,1,EVENT,2,GGOE00002,Apparel,49.23
17,2,EVENT,3,GGOE00002,Apparel,49.23
17,3,EVENT,5,GGOE00002,Apparel,49.23
17,4,EVENT,6,GGOE00002,Apparel,49.23
18,1,EVENT,2,GGOE00282,Electronics Accessories,34.81
19,1,EVENT,2,GGOE00273,Electronics Accessories,32.86
21,1,EVENT,2,GGOE00205,Lifestyle,86.73
23,1,EVENT,2,GGOE00054,Drinkware,13.08
25,1,EVENT,2,GGOE00319,Headgear,27.24
26,1,EVENT,2,GGOE00282,Electronics Accessories,34.81
26,2,EVENT,3,GGOE00282,Electronics Accessories,34.81
31,1,EVENT,2,GGOE00205,Lifestyle,86.73
34,1,EVENT,2,GGOE00061,Drinkware,20.95
39,1,EVENT,2,GGOE00185,Lifestyle,9.66
42,1,EVENT,2,GGOE00072,Drinkware,26.85
43,1,EVENT,2,GGOE00181,Lifestyle,50.91
46,1,EVENT,2,GGOE00142,Bags,106.6
47,1,EVENT,2,GGOE00049,Apparel,53.82
51,1,EVENT,2,GGOE00045,Apparel,47.61
53,1,EVENT,2,GGOE00175,Office,19.34
56,1,EVENT,2,GGOE00162,Office,3.7
58,1,EVENT,2,GGOE00238,Electronics Accessories,18.93
61,1,EVENT,2,GGOE00337,Nest,127.45
64,1,EVENT,2,GGOE00029,Apparel,36.68
65,1,EVENT,2,GGOE00017,Apparel,50.05
66,1,EVENT,2,GGOE00018,Apparel,41.86
67,1,EVENT,2,GGOE00165,Office,15.27
69,1,EVENT,2,GGOE00351,Nest,79.78
70,1,EVENT,2,GGOE00261,Electronics Accessories,8.59
71,1,EVENT,2,GGOE00237,Electronics Accessories,42.68
72,1,EVENT,2,GGOE00315,Headgear,11.72
75,1,EVENT,2,GGOE00217,Lifestyle,70.88
76,1,EVENT,2,GGOE00007,Apparel,51.42
77,1,EVENT,2,GGOE00092,Drinkware,16.69
78,1,EVENT,2,GGOE00139,Bags,91.7
78,2,EVENT,3,GGOE00139,Bags,91.7
78,3,EVENT,5,GGOE00139,Bags,91.7
78,4,EVENT,6,GGOE00139,Bags,91.7
81,1,EVENT,2,GGOE00225,Lifestyle,59.82
